,date,tweet,location
156,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",somewhere around the world 
157,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",Tzaneen(Julesburg)
158,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Pretoria, South Africa"
159,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Pretoria, South Africa"
160,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",Ga mphahlele seleteng(limpopo)
161,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",southern Kaapvaal Craton
162,2020-05-09,"RT @Vaxyourfam: A #COVID19vaccine would train the body to defend itself against the #coronavirus *before* ever coming into contact with it,…",San Francisco Bay Area
163,2020-05-09,A #COVID19vaccine would train the body to defend itself against the #coronavirus *before* ever coming into contact… https://t.co/dZY8yZrPHF,United States
164,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",Johannesburg 
165,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",Jane furse
166,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",
167,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Zeerust, South Africa"
168,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",
169,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Nairobi, Kenya. +254662324444"
170,2020-05-09,RT @NewsBytesApp: mRNA-1273 - This vaccine uses parts of the coronavirus' genetic material to generate an immune response from the body. #C…,
171,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",South Africa
172,2020-05-09,"RT @pfizer: In 25+ years of developing #vaccines, Kathrin Jansen says she has never before seen researchers collaborate in this way to laun…","Providence, RI"
173,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Jozi, RSA #LonglivePalestine"
174,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",Bloemfontein
175,2020-05-09,"@abcdiagnosis @jgmark @InvisibleSee what blocked, I get blocked because my profile has a few emotive topics but… https://t.co/R2dWxfsQpG","England, United Kingdom"
